,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,2.5039644
1,WM_18723,2019-03-30 07:43:20,2.4491806
2,WM_34552,2019-08-10 11:33:20,3.22532
3,WM_28570,2019-06-26 03:53:20,6.631602
4,WM_36934,2019-08-27 16:43:20,3.4817207
5,WM_46,2018-10-29 04:43:20,7.3659062
6,WM_5545,2018-12-16 15:13:20,4.3574266
7,WM_6959,2018-12-27 01:53:20,11.249853
8,WM_9565,2019-01-14 13:43:20,8.178381
9,WM_33379,2019-08-02 03:33:20,2.449582
10,WM_24358,2019-05-24 04:23:20,5.5657015
11,WM_38536,2019-09-10 00:23:20,8.154119
12,WM_30740,2019-07-11 20:33:20,7.128016
13,WM_32731,2019-07-28 12:23:20,5.3734264
14,WM_14062,2019-02-17 14:03:20,8.631532
15,WM_15294,2019-02-27 03:03:20,11.286036
16,WM_36014,2019-08-21 06:03:20,5.4951644
17,WM_5050,2018-12-11 01:23:20,13.666877
18,WM_17819,2019-03-22 11:53:20,2.3716865
19,WM_1759,2018-11-13 16:23:20,3.3173833
20,WM_27254,2019-06-16 12:13:20,4.8531656
21,WM_14482,2019-02-20 17:53:20,6.889535
22,WM_40277,2019-09-23 05:03:20,4.2963657
23,WM_23364,2019-05-17 04:43:20,5.624143
24,WM_35071,2019-08-14 02:53:20,8.640765
25,WM_1240,2018-11-09 20:43:20,4.770533
26,WM_193,2018-10-30 05:43:20,8.380732
27,WM_31417,2019-07-16 15:23:20,7.5736103
28,WM_37853,2019-09-05 02:13:20,5.8074665
29,WM_34415,2019-08-09 12:13:20,2.8868499
30,WM_20130,2019-04-22 05:03:20,3.395173
31,WM_36985,2019-08-28 01:13:20,3.2368617
32,WM_32816,2019-07-29 02:53:20,7.6710095
33,WM_9659,2019-01-15 06:03:20,9.059872
34,WM_34192,2019-08-07 22:13:20,5.718384
35,WM_7124,2018-12-28 06:43:20,9.048421
36,WM_35945,2019-08-20 18:33:20,5.174024
37,WM_29448,2019-07-02 12:43:20,4.0598583
38,WM_26129,2019-06-08 07:53:20,3.3848255
39,WM_3566,2018-11-29 22:53:20,6.4950557
40,WM_1340,2018-11-10 15:23:20,3.1475384
41,WM_14304,2019-02-19 08:33:20,6.2461214
42,WM_22513,2019-05-11 04:33:20,4.916387
43,WM_15672,2019-03-01 19:03:20,11.489053
44,WM_28793,2019-06-27 17:53:20,1.7793947
45,WM_13683,2019-02-14 16:33:20,7.1757336
46,WM_8450,2019-01-06 15:23:20,8.121269
47,WM_39606,2019-09-17 19:03:20,7.621776
48,WM_33792,2019-08-05 01:43:20,8.161062
49,WM_39434,2019-09-16 14:23:20,2.3564563
50,WM_16883,2019-03-14 00:13:20,2.6904557
51,WM_16423,2019-03-08 21:13:20,5.3296013
52,WM_19378,2019-04-07 14:43:20,4.113964
53,WM_35176,2019-08-14 20:23:20,7.9135857
54,WM_39649,2019-09-18 02:13:20,6.0487494
55,WM_16624,2019-03-11 23:43:20,2.5453703
56,WM_25236,2019-05-31 15:13:20,4.1339016
57,WM_30165,2019-07-07 15:13:20,2.43148
58,WM_11229,2019-01-26 21:13:20,10.479973
59,WM_22495,2019-05-11 01:33:20,5.2639008
60,WM_1410,2018-11-11 03:43:20,2.9833689
61,WM_3502,2018-11-29 11:23:20,3.145891
62,WM_11799,2019-02-01 03:53:20,9.035467
63,WM_22334,2019-05-09 20:43:20,5.7464457
64,WM_37802,2019-09-04 17:43:20,3.3095634
65,WM_6663,2018-12-24 23:53:20,10.7406435
66,WM_29243,2019-07-01 01:43:20,5.4424167
67,WM_5320,2018-12-14 23:53:20,7.23961
68,WM_16550,2019-03-10 15:43:20,6.989623
69,WM_2183,2018-11-16 16:43:20,3.9840462
70,WM_3438,2018-11-29 00:33:20,5.262872
71,WM_36325,2019-08-23 10:03:20,3.4693308
72,WM_8597,2019-01-07 16:23:20,5.887848
73,WM_31833,2019-07-19 14:33:20,5.219071
74,WM_10149,2019-01-18 22:33:20,10.337976
75,WM_38811,2019-09-11 22:23:20,8.3435755
76,WM_31073,2019-07-14 05:13:20,4.0167656
77,WM_1314,2018-11-10 11:03:20,5.193954
78,WM_28386,2019-06-24 20:03:20,8.178214
79,WM_198,2018-10-30 06:33:20,9.366571
80,WM_10525,2019-01-21 14:03:20,7.9427557
81,WM_11900,2019-02-01 21:03:20,11.663341
82,WM_18459,2019-03-27 07:03:20,3.7811928
83,WM_33737,2019-08-04 16:33:20,6.389695
84,WM_1851,2018-11-14 08:03:20,2.3388133
85,WM_21673,2019-05-05 04:43:20,4.7471056
86,WM_6566,2018-12-24 07:23:20,9.669
87,WM_36845,2019-08-27 01:53:20,2.7920997
88,WM_7916,2019-01-02 19:43:20,12.350315
89,WM_27896,2019-06-21 06:43:20,5.8268666
90,WM_21392,2019-05-02 11:33:20,3.3533037
91,WM_27683,2019-06-19 18:13:20,4.645984
92,WM_8769,2019-01-08 22:13:20,3.7244902
93,WM_30312,2019-07-08 17:53:20,5.3200455
94,WM_29472,2019-07-02 16:43:20,4.2319527
95,WM_3189,2018-11-27 06:33:20,8.341124
96,WM_18130,2019-03-24 20:13:20,5.750135
97,WM_36279,2019-08-23 02:23:20,8.6716795
98,WM_28062,2019-06-22 12:03:20,4.915958
99,WM_20790,2019-04-28 07:03:20,2.5696452
100,WM_18167,2019-03-25 02:43:20,5.4119673
101,WM_1118,2018-11-08 18:03:20,15.177078
102,WM_23657,2019-05-19 06:23:20,4.062973
103,WM_37530,2019-09-02 20:23:20,6.9643884
104,WM_29981,2019-07-06 08:03:20,4.0248327
105,WM_40227,2019-09-22 20:43:20,7.327972
106,WM_1525,2018-11-11 23:43:20,5.733791
107,WM_2323,2018-11-17 16:13:20,3.2673538
108,WM_19419,2019-04-07 21:43:20,6.8682017
109,WM_18221,2019-03-25 13:43:20,3.4185658
110,WM_22827,2019-05-13 10:53:20,2.3629787
111,WM_37941,2019-09-05 16:53:20,5.1995053
112,WM_18696,2019-03-29 17:43:20,3.174285
113,WM_39197,2019-09-14 22:33:20,7.517394
114,WM_13378,2019-02-12 12:13:20,6.561279
115,WM_29514,2019-07-02 23:53:20,7.57861
116,WM_20666,2019-04-27 10:23:20,3.13933
117,WM_1354,2018-11-10 17:43:20,3.0035102
118,WM_39840,2019-09-19 10:03:20,3.270124
119,WM_12741,2019-02-07 19:23:20,5.5394545
120,WM_11752,2019-01-31 20:03:20,11.041612
121,WM_2001,2018-11-15 10:03:20,4.7128367
122,WM_19586,2019-04-09 05:13:20,4.0482235
123,WM_25038,2019-05-29 23:23:20,5.7288766
124,WM_39554,2019-09-17 10:23:20,2.1813948
125,WM_12904,2019-02-08 23:03:20,6.4232116
126,WM_36694,2019-08-26 00:23:20,6.2658634
127,WM_34522,2019-08-10 06:23:20,3.5687056
128,WM_8354,2019-01-05 22:33:20,10.021168
129,WM_677,2018-11-05 06:43:20,2.491283
130,WM_25764,2019-06-05 13:13:20,4.6740184
131,WM_16078,2019-03-06 10:13:20,9.097247
132,WM_7290,2018-12-29 10:23:20,10.443175
133,WM_18298,2019-03-26 04:13:20,2.8516855
134,WM_22074,2019-05-07 23:43:20,6.1497836
135,WM_28715,2019-06-27 04:43:20,6.728594
136,WM_24669,2019-05-26 11:43:20,4.5282164
137,WM_27581,2019-06-18 21:13:20,6.1543627
138,WM_4217,2018-12-04 23:53:20,5.686625
139,WM_1060,2018-11-08 08:03:20,2.9393718
140,WM_11788,2019-02-01 02:03:20,7.9623017
141,WM_5520,2018-12-16 11:03:20,7.5840926
142,WM_13297,2019-02-11 21:03:20,3.1578164
143,WM_14468,2019-02-20 15:33:20,8.191434
144,WM_38965,2019-09-13 00:03:20,6.781959
145,WM_33740,2019-08-04 17:03:20,5.885096
146,WM_24325,2019-05-23 22:13:20,6.4986506
147,WM_7300,2018-12-29 12:03:20,9.375347
148,WM_25751,2019-06-05 10:53:20,4.874627
149,WM_4599,2018-12-07 19:13:20,7.9877696
150,WM_13819,2019-02-15 19:23:20,8.881066
151,WM_1400,2018-11-11 02:03:20,4.8967867
152,WM_5810,2018-12-18 13:03:20,8.2123375
153,WM_31877,2019-07-19 21:53:20,7.352517
154,WM_6638,2018-12-24 19:43:20,10.225545
155,WM_21861,2019-05-06 12:13:20,4.4402
156,WM_38854,2019-09-12 05:33:20,8.41679
157,WM_35192,2019-08-14 23:03:20,6.676834
158,WM_15524,2019-02-28 18:13:20,11.76123
159,WM_39762,2019-09-18 21:03:20,7.3847632
160,WM_1677,2018-11-13 01:23:20,3.9932737
161,WM_30487,2019-07-10 01:03:20,7.687981
162,WM_28108,2019-06-22 19:53:20,7.757512
163,WM_1173,2018-11-09 04:33:20,3.3530731
164,WM_38104,2019-09-06 20:03:20,7.55381
165,WM_33708,2019-08-04 11:43:20,5.1451097
166,WM_5710,2018-12-17 19:43:20,4.8364954
167,WM_9131,2019-01-11 11:43:20,6.6215243
168,WM_27368,2019-06-17 08:33:20,2.8982575
169,WM_6290,2018-12-22 02:23:20,8.312759
170,WM_39569,2019-09-17 12:53:20,4.481535
171,WM_4462,2018-12-06 19:33:20,8.604872
172,WM_18269,2019-03-25 23:23:20,2.8835342
173,WM_20718,2019-04-27 19:03:20,4.3973103
174,WM_9069,2019-01-11 01:23:20,7.277955
175,WM_40064,2019-09-21 17:33:20,8.164616
176,WM_18319,2019-03-26 07:43:20,6.31371
177,WM_19859,2019-04-17 16:13:20,5.174926
178,WM_8317,2019-01-05 16:23:20,6.8797846
179,WM_37997,2019-09-06 02:13:20,6.714333
180,WM_27496,2019-06-18 06:33:20,5.511163
181,WM_35835,2019-08-20 00:13:20,5.7221813
182,WM_25495,2019-06-02 18:53:20,3.7255485
183,WM_6754,2018-12-25 15:03:20,13.283926
184,WM_8914,2019-01-09 23:03:20,3.5795557
185,WM_3385,2018-11-28 15:43:20,2.866421
186,WM_22206,2019-05-08 22:13:20,3.953632
187,WM_18913,2019-04-03 21:33:20,3.394789
188,WM_19326,2019-04-07 06:03:20,3.2698808
189,WM_23644,2019-05-19 04:13:20,6.360338
190,WM_9260,2019-01-12 09:23:20,2.7543004
191,WM_10714,2019-01-23 06:13:20,9.11371
192,WM_16480,2019-03-09 07:23:20,7.9025474
193,WM_16011,2019-03-05 21:43:20,5.7918806
194,WM_5670,2018-12-17 13:03:20,6.5736947
195,WM_10261,2019-01-19 17:43:20,13.9989605
196,WM_13790,2019-02-15 14:33:20,8.727808
197,WM_9508,2019-01-14 03:33:20,6.8296046
198,WM_22379,2019-05-10 04:13:20,2.9090757
